date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:39:10	35707/35707	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20May%202024%2009:08:03%20GMT	https://colorlib.com/polygon/adminator/ui.html	D:/YASH/ADMIN/colorlib.com/polygon/adminator/ui.html	(from https://colorlib.com/polygon/adminator/index.html)
10:39:10	29697/29697	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20May%202024%2009:07:56%20GMT	https://colorlib.com/polygon/adminator/basic-table.html	D:/YASH/ADMIN/colorlib.com/polygon/adminator/basic-table.html	(from https://colorlib.com/polygon/adminator/index.html)
10:39:10	42436/42436	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20May%202024%2009:08:01%20GMT	https://colorlib.com/polygon/adminator/datatable.html	D:/YASH/ADMIN/colorlib.com/polygon/adminator/datatable.html	(from https://colorlib.com/polygon/adminator/index.html)
10:39:11	21510/21510	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20May%202024%2009:08:02%20GMT	https://colorlib.com/polygon/adminator/google-maps.html	D:/YASH/ADMIN/colorlib.com/polygon/adminator/google-maps.html	(from https://colorlib.com/polygon/adminator/index.html)
10:39:11	21493/21493	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20May%202024%2009:08:04%20GMT	https://colorlib.com/polygon/adminator/vector-maps.html	D:/YASH/ADMIN/colorlib.com/polygon/adminator/vector-maps.html	(from https://colorlib.com/polygon/adminator/index.html)
10:39:14	21336/21336	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20May%202024%2009:08:00%20GMT	https://colorlib.com/polygon/adminator/blank.html	D:/YASH/ADMIN/colorlib.com/polygon/adminator/blank.html	(from https://colorlib.com/polygon/adminator/index.html)
10:39:15	1366/1366	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20May%202024%2009:07:55%20GMT	https://colorlib.com/polygon/adminator/404.html	D:/YASH/ADMIN/colorlib.com/polygon/adminator/404.html	(from https://colorlib.com/polygon/adminator/index.html)
10:39:15	1368/1368	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20May%202024%2009:07:55%20GMT	https://colorlib.com/polygon/adminator/500.html	D:/YASH/ADMIN/colorlib.com/polygon/adminator/500.html	(from https://colorlib.com/polygon/adminator/index.html)
10:39:16	3908/3908	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20May%202024%2009:08:03%20GMT	https://colorlib.com/polygon/adminator/signin.html	D:/YASH/ADMIN/colorlib.com/polygon/adminator/signin.html	(from https://colorlib.com/polygon/adminator/index.html)
10:39:17	3796/3796	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20May%202024%2009:08:03%20GMT	https://colorlib.com/polygon/adminator/signup.html	D:/YASH/ADMIN/colorlib.com/polygon/adminator/signup.html	(from https://colorlib.com/polygon/adminator/index.html)
10:39:18	3598/3598	---M--	200	added ('OK')	image/jpeg	etag:%2262c38589-e0e%22	https://randomuser.me/api/portraits/men/1.jpg	D:/YASH/ADMIN/randomuser.me/api/portraits/men/1.jpg	(from https://colorlib.com/polygon/adminator/index.html)
10:39:18	4701/4701	---M--	200	added ('OK')	image/jpeg	etag:%2262c38589-125d%22	https://randomuser.me/api/portraits/men/2.jpg	D:/YASH/ADMIN/randomuser.me/api/portraits/men/2.jpg	(from https://colorlib.com/polygon/adminator/index.html)
10:39:19	5631/5631	---M--	200	added ('OK')	image/jpeg	etag:%2262c38589-15ff%22	https://randomuser.me/api/portraits/men/3.jpg	D:/YASH/ADMIN/randomuser.me/api/portraits/men/3.jpg	(from https://colorlib.com/polygon/adminator/index.html)
10:39:19	5422/5422	---M--	200	added ('OK')	image/jpeg	etag:%2262c38589-152e%22	https://randomuser.me/api/portraits/men/10.jpg	D:/YASH/ADMIN/randomuser.me/api/portraits/men/10.jpg	(from https://colorlib.com/polygon/adminator/index.html)
10:39:19	5147/5147	---M--	200	added ('OK')	image/jpeg	etag:%2265f0e53a-141b%22	https://randomuser.me/api/portraits/men/11.jpg	D:/YASH/ADMIN/randomuser.me/api/portraits/men/11.jpg	(from https://colorlib.com/polygon/adminator/index.html)
10:39:19	5610/5610	---M--	200	added ('OK')	image/jpeg	etag:%2262c38589-15ea%22	https://randomuser.me/api/portraits/men/12.jpg	D:/YASH/ADMIN/randomuser.me/api/portraits/men/12.jpg	(from https://colorlib.com/polygon/adminator/index.html)
10:39:20	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%22673dd3d6-4d7%22	https://colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	D:/YASH/ADMIN/colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://colorlib.com/polygon/adminator/email.html)
10:39:21	6336/6336	---M--	200	added ('OK')	image/jpeg	etag:%2262c38589-18c0%22	https://randomuser.me/api/portraits/men/4.jpg	D:/YASH/ADMIN/randomuser.me/api/portraits/men/4.jpg	(from https://colorlib.com/polygon/adminator/chat.html)
10:39:21	13900/13900	---MCZ	200	added ('OK')	text/css	etag:W/%2267065367-364c%22	https://cdn.datatables.net/1.10.20/css/jquery.dataTables.min.css	D:/YASH/ADMIN/cdn.datatables.net/1.10.20/css/jquery.dataTables.min.css	(from https://colorlib.com/polygon/adminator/datatable.html)
10:39:23	3700/3700	---M--	200	added ('OK')	image/png	etag:%2266447b6c-1207%22	https://colorlib.com/polygon/adminator/assets/static/images/404.png	D:/YASH/ADMIN/colorlib.com/polygon/adminator/assets/static/images/404.png	(from https://colorlib.com/polygon/adminator/404.html)
10:39:24	131604/131604	---M--	200	added ('OK')	image/png	etag:%2266447b6c-2aa71%22	https://colorlib.com/polygon/adminator/assets/static/images/500.png	D:/YASH/ADMIN/colorlib.com/polygon/adminator/assets/static/images/500.png	(from https://colorlib.com/polygon/adminator/500.html)
10:39:26	201/201	---MC-	200	added ('OK')	image/png	etag:W/%2267065367-c9%22	https://cdn.datatables.net/1.10.20/images/sort_both.png	D:/YASH/ADMIN/cdn.datatables.net/1.10.20/images/sort_both.png	(from https://cdn.datatables.net/1.10.20/css/jquery.dataTables.min.css)
10:39:26	160/160	---MC-	200	added ('OK')	image/png	etag:W/%2266222f33-a0%22	https://cdn.datatables.net/1.10.20/images/sort_asc.png	D:/YASH/ADMIN/cdn.datatables.net/1.10.20/images/sort_asc.png	(from https://cdn.datatables.net/1.10.20/css/jquery.dataTables.min.css)
10:39:26	463027/463027	---M--	200	added ('OK')	image/jpeg	etag:%2266447b6d-7b213%22	https://colorlib.com/polygon/adminator/assets/static/images/bg.jpg	D:/YASH/ADMIN/colorlib.com/polygon/adminator/assets/static/images/bg.jpg	(from https://colorlib.com/polygon/adminator/signin.html)
10:39:26	158/158	---MC-	200	added ('OK')	image/png	etag:W/%2267065367-9e%22	https://cdn.datatables.net/1.10.20/images/sort_desc.png	D:/YASH/ADMIN/cdn.datatables.net/1.10.20/images/sort_desc.png	(from https://cdn.datatables.net/1.10.20/css/jquery.dataTables.min.css)
10:39:26	148/148	---MC-	200	added ('OK')	image/png	etag:W/%2266222f33-94%22	https://cdn.datatables.net/1.10.20/images/sort_asc_disabled.png	D:/YASH/ADMIN/cdn.datatables.net/1.10.20/images/sort_asc_disabled.png	(from https://cdn.datatables.net/1.10.20/css/jquery.dataTables.min.css)
10:39:27	146/146	---MC-	200	added ('OK')	image/png	etag:W/%2266222f33-92%22	https://cdn.datatables.net/1.10.20/images/sort_desc_disabled.png	D:/YASH/ADMIN/cdn.datatables.net/1.10.20/images/sort_desc_disabled.png	(from https://cdn.datatables.net/1.10.20/css/jquery.dataTables.min.css)
